PptID,STEMColF,STEMColM,LAHColF,LAHColM,STEMFriF,STEMFriM,LAHFriF,LAHFriM,STEMFamF,STEMFamM,LAHFamF,LAHFamM,STEMMedF,STEMMedM,LAHMedF,LAHMedM,SciExpect
317,30,50,10,10,20,30,40,10,50,10,20,20,0,0,50,50,1.6
261,30,20,40,10,30,30,40,0,10,0,50,40,30,40,20,10,1.2
248,30,30,35,5,20,10,40,30,20,20,30,30,30,30,20,20,1
250,35,30,25,10,30,15,45,10,100,0,0,0,30,25,35,10,2.6
280,35,20,40,5,50,45,5,0,30,70,0,0,70,25,5,0,2.4
247,35,25,10,30,30,40,20,10,26,30,35,9,25,40,30,5,1
276,35,35,15,15,25,15,40,20,20,25,30,25,40,50,5,5,1.2
214,35,20,25,20,50,20,10,20,20,60,10,10,30,30,30,10,1
158,39,30,18,13,0,25,50,25,30,20,20,30,10,14,46,30,1.25
143,40,40,10,10,50,30,10,10,50,50,0,0,20,20,30,30,1.4
251,40,40,10,10,40,50,5,5,30,60,5,5,70,20,5,5,2.4
111,40,15,30,15,10,0,60,30,80,0,10,10,0,0,50,50,1
112,40,40,10,10,100,0,0,0,0,0,50,50,0,0,50,50,1
134,40,40,10,10,25,25,25,25,25,25,25,25,25,25,25,25,3
380,40,25,25,10,50,40,10,0,50,30,20,0,10,50,30,10,1.8
220,40,10,20,30,40,10,35,15,35,20,30,15,30,45,15,10,1
353,40,25,25,10,0,60,40,0,0,0,100,0,0,70,20,10,1
168,40,20,20,20,20,40,20,20,40,20,20,20,20,40,20,20,1.4
270,40,10,10,40,50,10,20,20,80,10,5,5,60,30,5,5,1
268,45,45,10,0,35,35,3,27,30,30,20,20,20,20,30,30,1.6
340,45,30,15,10,54,32,13,1,51,35,11,3,42,25,23,10,2.2
370,45,45,5,5,20,10,20,50,5,5,45,45,4,21,53,22,1
282,46,45,5,4,80,1,10,9,9,0,90,1,4,11,55,30,2.8
121,50,50,0,0,50,50,0,0,50,50,0,0,10,40,30,20,2.6
311,50,10,20,20,10,30,30,30,30,20,30,20,20,30,20,30,2
293,50,40,10,0,0,50,50,0,0,0,10,90,0,50,40,10,1
216,50,10,10,30,10,60,10,20,70,10,10,10,20,20,40,20,2.2
236,50,25,15,10,20,35,40,5,45,10,30,15,80,5,5,10,1
363,50,30,20,0,90,0,5,5,0,100,0,0,0,0,100,0,1.5
330,50,10,20,20,10,60,20,10,10,10,10,70,10,30,20,40,2.4
299,50,30,10,10,5,40,50,5,0,2,50,48,20,50,20,10,1.4
328,50,40,5,5,50,50,0,0,0,0,100,0,50,50,0,0,1.4
197,50,50,0,0,50,50,0,0,50,0,50,0,40,30,30,0,1
