Subject,groups,ZWFDPDSST,ZwfbSNSA,ZWFBSNS,Zwfdpsng,MEM_V2,TD_V2,InternalNegativeTrait2,InternalPositiveTrait2,InternalValuing2,InternalDevaluing2,InternalNegative2,InternalPositive2,InternalNegativeTrait1,InternalPositiveTrait1,InternalValuing1,InternalDevaluing1,InternalNegative1,InternalPositive1,NegativeEmotions1,PositiveEmotions1,Neg2Emo,PositiveEmotions2
64324.00,1.00,,,,,,,,,,,,,,,,,,,,,,
69726.00,1.00,-0.86220,-0.96703,-0.86566,-0.70548,,,,,,,,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,
71275.00,1.00,1.29770,2.03262,1.80076,1.72529,5,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00
76472.00,1.00,-0.51963,-0.48229,-0.49736,-0.58442,3,7,,,,,,,,,,,,,,,,
79918.00,1.00,-0.01395,-0.33280,0.12514,-0.06149,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
82305.00,1.00,-0.36118,-0.45619,-0.11050,-0.11840,4,4,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
82807.00,1.00,0.11586,0.12818,0.17059,0.20584,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
84065.00,1.00,0.65026,0.67051,0.81586,0.55333,,,,,,,,,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,,
85083.00,1.00,,,,,,,,,,,,,,,,,,,,,,
86876.00,1.00,-0.00964,-0.14347,-0.28306,-0.51365,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
95143.00,1.00,-0.44784,-0.31527,-0.37173,-0.56098,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
95879.00,1.00,0.20725,0.27313,0.41125,0.57097,2,7,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00
12047.00,2.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,,
20107.00,2.00,-0.47946,-0.39553,-0.23849,-0.46596,3,3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,0.00
21557.00,2.00,-0.18980,-0.25176,-0.40890,-0.24768,3,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
21602.00,2.00,-0.49164,-0.46679,-0.39485,-0.43896,4,3,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
25521.00,2.00,-0.34860,-0.10857,-0.12413,-0.12153,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
27863.00,2.00,-0.48380,-0.09475,-0.05256,0.23010,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
30445.00,2.00,-0.47366,-0.54689,-0.41470,-0.30444,4,4,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
30524.00,2.00,0.44733,0.21368,0.19863,0.00447,2,4,,,,,,,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,,
33859.00,2.00,0.06162,-0.18944,-0.00120,-0.10218,4,5,,,,,,,,,,,,,,,,
36608.00,2.00,-0.69381,-0.25765,0.03937,0.06274,3,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00
36944.00,2.00,-0.43878,-0.75111,-0.83680,-1.00109,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,
46151.00,2.00,-0.25480,-0.30266,-0.07028,-0.38931,2,3,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
47476.00,2.00,-0.53056,-0.58162,-0.57282,-0.59038,,,,,,,,,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,,
47913.00,2.00,-0.34735,-0.30277,-0.36807,-0.41810,4,2,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
48221.00,2.00,0.08666,0.10185,-0.07216,0.18316,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
52046.00,2.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,
52495.00,2.00,-0.14185,-0.06472,0.18808,-0.15703,3,3,,,,,,,,,,,,,,,,
59937.00,2.00,,,,,6,5,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,,
64129.00,2.00,-0.39798,-0.19268,-0.13062,-0.37515,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,
66173.00,2.00,,,,,5,2,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68236.00,2.00,-0.24085,-0.06030,-0.00689,-0.08916,3,5,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,3.00,0.00,3.00,0.00
