District,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019
11,15723,15755,15726,15762,15756,15778,15828,15831,15905,15918,15991,16011,16017,16037,16037,14901,14889,14908,14959,14980,15013,14991,15014,15024,15043,15094,15116,15108,13926,13964,13764,13798,13872,13993,14020,14052,14187,13957,13994,14008,14009,14040,14076,14113,14138,14111,14147,14126,14117,14140,14138,14178,14210,14233,14293,14308,14344,14320,14396,14449,14403,14559,14590,14630,14657,14690,14731,14582,14617,14670,14697,14760,14782,14840,14900,14920,14953,14997,15023,15091,15104,15237,15362,15666,15493,15874,15814,15699,15611,15624,15663,15713,15712,15751,15761,15756,15784,15779,15791,15819,15798,15806,15837,15824,15862,15860,16113,16304,16323,16341,16373,16130,16138,16142,16174,16192,16221,16206
12,15376,15391,15366,15400,15376,15399,15449,15458,15478,15495,15567,15589,15597,15612,15615,14672,14687,14713,14738,14747,14770,14765,14772,14751,14801,14840,14844,14850,19558,19594,19666,19758,19865,20082,20076,20080,20359,19961,19957,19926,19871,19839,19879,19915,19905,19834,19866,19858,19802,19803,19744,19759,19753,19740,19801,19835,19835,19823,19807,19769,19797,19776,19708,19692,19692,19728,19744,19731,19740,19765,19790,19809,19829,19850,19946,19987,19995,19995,20020,20074,19913,20030,20297,20634,20634,20636,20210,20211,19842,19874,19873,19902,19910,19903,19881,19904,19906,19868,19866,19908,19860,19890,19897,19838,19817,19799,19870,20307,20349,20359,20347,20000,20013,20030,20063,20051,20037,19971
13,13216,13237,13226,13267,13292,13307,13360,13351,13362,13346,13402,13421,13439,13455,13463,12921,12910,12926,12960,12977,12986,13009,13011,13024,13061,13098,13142,13156,15183,15218,15244,15273,15334,15435,15433,15510,15678,15291,15319,15353,15327,15325,15378,15425,15402,15331,15358,15361,15283,15285,15328,15364,15345,15335,15382,15357,15396,15386,15450,15339,15367,15379,15387,15408,15405,15430,15468,15492,15511,15513,15535,15522,15525,15555,15617,15640,15676,15715,15738,15798,15740,15855,16003,16233,16258,16257,15965,15955,15833,15864,15898,15908,15895,15904,15895,15889,15891,15875,15861,15865,15840,15828,15836,15797,15788,15785,15831,16147,16164,16202,16183,15878,15889,15882,15894,15893,15868,15822
14,19727,19769,19789,19893,19981,19965,20115,19912,19997,19901,20036,20094,20125,20148,20201,19878,19939,20007,20058,20130,20197,20305,20368,20446,20506,20627,20720,20751,17081,17124,17291,17168,17250,17405,17538,17583,17811,17595,17614,17565,17674,17743,17747,17821,17958,18039,18072,18154,18292,18254,18259,18333,18407,18483,18616,18503,18680,18563,18629,18993,19089,19082,19121,19186,18974,19019,19111,19196,19289,19452,19499,19583,19731,19770,19901,20067,20153,20177,20326,20430,20469,20668,20727,20721,20964,20994,21247,20960,20713,20791,20893,20958,21107,21171,21129,21268,21352,21355,21449,21457,21544,21477,21565,21411,21626,21571,21642,21737,22109,22136,22267,22112,22173,22262,22399,22519,22565,22632
15,19144,19188,19233,19293,19341,19397,19502,19546,19634,19689,19804,19852,19924,19998,20042,18994,19067,19149,19210,19273,19355,19376,19412,19444,19485,19559,19627,19663,16553,16601,16717,16781,16888,17088,17119,17161,17467,16973,17004,17016,17010,17032,17101,17170,17195,17172,17214,17262,17250,17258,17280,17322,17367,17412,17515,17542,17581,17584,17630,17520,17554,17560,17550,17581,17598,17666,17758,17801,17843,17902,17951,18006,18107,18149,18263,18354,18418,18466,18523,18572,18569,18771,19005,19337,19392,19442,18966,18997,18843,18886,18931,18973,19029,19058,19091,19141,19199,19198,19247,19303,19287,19304,19333,19309,19354,19419,19550,20082,20147,20176,20221,19811,19858,19937,19985,19999,20020,19973
16,13283,13293,13259,13289,13307,13344,13399,13392,13406,13399,13481,13496,13510,13534,13543,13006,13023,13029,13042,13047,13068,13065,13089,13083,13111,13137,13159,13159,14606,14614,14674,14712,14784,14917,14896,14966,15143,14755,14789,14793,14799,14828,14873,14914,14883,14822,14857,14836,14750,14772,14752,14779,14812,14838,14880,14881,14916,14920,14945,14815,14856,14861,14850,14865,14895,14940,14956,14967,14988,15043,15051,15046,15047,15065,15120,15144,15178,15212,15249,15347,15349,15423,15525,15740,15785,15802,15464,15466,15353,15372,15386,15378,15384,15397,15401,15403,15406,15399,15418,15421,15411,15443,15465,15445,15451,15439,15486,15744,15797,15825,15839,15549,15547,15568,15597,15586,15575,15558
17,13948,13995,13987,14035,14020,14032,14082,14072,14100,14109,14160,14202,14226,14241,14246,13620,13635,13680,13707,13738,13774,13787,13808,13812,13834,13861,13901,13908,15276,15290,15365,15404,15449,15625,15633,15686,15875,15239,15274,15290,15286,15332,15382,15410,15425,15420,15458,15462,15421,15421,15431,15441,15464,15505,15551,15555,15572,15551,15580,15403,15440,15465,15444,15475,15476,15521,15545,15563,15600,15647,15666,15677,15710,15744,15748,15773,15796,15816,15851,15905,15888,15999,16147,16396,16416,16431,16108,16141,15992,16056,16079,16125,16141,16164,16153,16170,16196,16194,16220,16261,16265,16264,16278,16283,16292,16314,16329,16652,16702,16729,16765,16466,16506,16551,16554,16531,16539,16508
18,12671,12708,12704,12739,12772,12801,12864,12902,12988,12979,13016,13075,13116,13151,13182,12412,12412,12444,12473,12494,12534,12527,12548,12568,12602,12648,12709,12715,15072,15140,15196,15238,15323,15468,15474,15500,15714,15236,15274,15290,15265,15249,15300,15333,15344,15311,15313,15334,15297,15285,15216,15229,15227,15221,15286,15276,15305,15280,15292,15015,15039,15024,14967,15003,15028,15067,15110,15115,15150,15188,15196,15232,15258,15307,15343,15384,15424,15461,15479,15517,15468,15628,15784,15980,16003,16026,15558,15573,15380,15453,15466,15492,15528,15560,15572,15577,15599,15598,15614,15656,15651,15680,15714,15690,15714,15735,15789,16083,16136,16157,16192,15802,15809,15823,15860,15884,15927,15897
19,13165,13174,13171,13206,13218,13223,13271,13300,13328,13299,13355,13390,13400,13392,13409,12866,12866,12879,12902,12907,12927,12937,12964,12950,12984,13030,13037,13041,15402,15437,15521,15575,15637,15728,15724,15757,15920,15543,15547,15555,15549,15544,15596,15615,15590,15545,15567,15551,15492,15500,15473,15471,15493,15491,15511,15499,15522,15468,15521,15403,15420,15439,15432,15443,15458,15494,15518,15541,15555,15578,15587,15592,15605,15630,15697,15712,15717,15754,15772,15800,15774,15858,16037,16230,16219,16194,15868,15875,15762,15752,15754,15765,15767,15771,15766,15761,15792,15771,15771,15778,15758,15743,15713,15693,15688,15714,15761,16007,16031,16026,16019,15764,15759,15751,15771,15784,15785,15756
20,15555,15562,15572,15610,15597,15600,15647,15677,15725,15753,15810,15852,15877,15888,15905,14858,14871,14897,14921,14950,14973,14935,14967,14973,15009,15061,15105,15094,16884,16928,17110,16988,17068,17218,17325,17386,17623,17488,17544,17529,17628,17764,17781,17829,17915,18011,18074,18136,18252,18227,18248,18373,18449,18523,18673,18607,18743,18676,18740,19138,19225,19223,19281,19320,19185,19283,19383,19451,19564,19684,19757,19887,19997,20032,20153,20339,20421,20498,20661,20780,20785,20954,21023,21019,21348,21372,21655,21518,21381,21444,21581,21675,21843,21993,21954,22112,22244,22288,22368,22416,22569,22577,22709,22665,22885,22845,22935,23043,23445,23509,23639,23568,23672,23745,23901,24015,24118,24212
