Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
12301,2,1,-0.16437,-0.19243,1.53818,-1.17724,0.47347,0.37922,0.86162,0.39767,1.29079,-0.746,-0.88003,-0.01975
11650,2,1,-0.25351,-0.22229,-1.22735,-1.17724,-0.07313,0.137,0.86162,-0.52059,-0.37356,-0.746,0.8748,-1.04032
8881,2,1,-0.33319,-0.07449,0.61634,-0.21042,1.02008,0.01589,0.41249,-0.97973,0.45861,-0.15984,0.22997,-0.70758
8602,2,1,-0.40172,-0.35705,-0.30551,-0.04928,1.02008,0.137,0.48792,-0.97973,-0.09617,0.55131,-1.56498,0.84724
20109,2,1,-0.04824,-0.10777,1.53818,-0.53269,0.47347,0.58107,-1.22266,1.77506,0.73601,1.90896,-0.27248,-0.59335
11665,2,1,-0.1317,-0.02513,-1.22735,1.72323,0.47347,-1.0741,-1.22266,-0.97973,-2.31529,-1.22872,-0.25648,-0.78772
40063,2,1,1.12756,0.24892,-0.30551,0.7564,0.47347,-0.30707,0.86162,1.31593,-0.09617,0.4608,-0.05159,-0.58479
14656,2,1,0.04722,0.02784,0.61634,-0.21042,0.47347,0.05626,0.86162,-0.97973,0.45861,0.87456,-0.47098,-0.14885
10212,2,1,-0.09471,-0.16486,-1.22735,1.72323,1.02008,-1.31631,0.82121,0.39767,0.18122,0.09876,1.36965,-0.44887
10432,2,1,-0.31596,-0.28653,-0.30551,0.27299,1.02008,-0.18596,0.86162,-0.06146,0.73601,-0.26328,-0.2115,-0.9828
20042,2,1,-0.29998,-0.19905,0.61634,0.59527,0.47347,-0.10522,0.86162,-0.97973,1.56818,0.4608,-0.41622,-0.14111
21538,2,1,0.27232,0.26011,1.53818,1.72323,1.02008,-0.2667,0.86162,0.39767,0.18122,0.70216,0.10217,-0.91767
20005,2,1,-0.02175,-0.2077,-0.30551,0.27299,1.02008,-0.2667,-0.79117,1.31593,0.73601,1.18488,0.21465,-0.34278
10576,2,1,-0.3828,-0.27386,-1.22735,0.43413,0.47347,-0.30707,0.84625,-0.97973,-0.92834,-0.50464,2.66347,-1.43649
23374,2,1,-0.44534,-0.39318,-1.22735,1.23982,-0.61974,-0.22633,-1.22266,-0.97973,1.56818,0.21944,0.16211,-0.19649
11647,2,1,-0.42415,-0.22335,-1.22735,-0.85497,-0.07313,0.137,0.86162,-0.06146,-1.48312,-0.80634,-0.26954,-0.43926
20068,2,1,-0.0123,-0.05998,-0.30551,-1.82179,1.56668,0.58107,-1.51326,0.39767,1.56818,0.87456,-0.26954,-0.43926
20152,2,1,-0.35992,-0.33066,1.53818,-1.33838,0.47347,0.5407,0.40025,-0.06146,1.29079,0.70216,-0.26954,-0.43926
12274,2,1,0.00727,-0.21986,0.61634,0.91754,-1.71295,-0.34744,0.86162,0.39767,-0.37356,-1.71144,-0.95934,-0.57294
20078,2,1,-0.4755,-0.46245,-0.30551,1.23982,-0.07313,-0.02448,0.47511,0.8568,-0.65095,-0.50464,0.74327,1.87412
12160,2,1,-0.28933,-0.27491,-0.30551,-0.85497,-0.61974,0.25811,-1.22266,-0.97973,-0.09617,1.00386,0.24832,-0.68497
20145,2,1,0.10299,0.16267,0.61634,-0.53269,0.47347,0.33885,0.86162,-0.06146,1.56818,1.00386,0.87252,-0.71568
30281,2,1,-0.50481,-0.50933,1.53818,0.27299,-1.16634,0.62144,-1.22266,-0.97973,-2.0379,-1.71144,0.87252,-0.71568
10273,2,1,-0.40535,-0.33029,-0.30551,0.27299,-0.07313,0.09663,-1.22266,0.39767,0.73601,0.2999,0.31985,0.40003
20001,2,1,1.67174,1.57064,0.61634,-1.49952,0.47347,0.50033,0.86162,0.39767,0.45861,0.82284,0.31985,0.40003
20128,2,1,-0.25177,-0.20844,0.61634,-0.69383,1.56668,0.41959,0.86162,-0.06146,1.84557,1.00386,0.05241,1.0993
11629,2,1,-0.01815,-0.14131,1.53818,-1.17724,-1.16634,0.58107,0.86162,-0.52059,-0.37356,-0.59747,1.0138,0.64798
10072,2,1,-0.22806,-0.3493,-1.22735,-0.53269,0.47347,-0.02448,0.86162,-0.52059,,0.09876,-0.43119,0.72977
8530,2,1,1.94505,0.71567,1.53818,-0.69383,0.47347,0.137,0.86162,-0.06146,-0.37356,-0.9069,0.23698,0.86716
9106,2,1,-0.55329,-0.46975,0.61634,-0.69383,2.11329,0.41959,-1.57274,0.39767,0.18122,1.39176,0.23698,0.86716
12091,2,1,-0.02093,0.05752,0.61634,-1.01611,-0.61974,0.41959,0.86162,-0.52059,-0.09617,-0.26328,0.23698,0.86716
12190,2,1,-0.35051,-0.29929,-1.22735,-0.69383,0.47347,-0.42818,0.54456,-0.97973,0.73601,-1.10804,0.23698,0.86716
14881,2,1,0.01984,0.06801,-0.30551,-1.66066,-0.61974,-0.22633,0.52577,-0.97973,-0.09617,-0.80634,0.23698,0.86716
20006,2,1,-0.36305,-0.2947,0.61634,0.43413,-0.61974,-0.22633,0.86162,-0.06146,0.18122,-0.80634,0.23698,0.86716
20036,2,1,-0.04456,-0.07445,1.53818,-0.53269,-0.07313,0.25811,-1.8235,1.31593,0.45861,0.09876,0.23698,0.86716
20102,2,1,-0.57127,-0.44304,-0.30551,1.56209,-1.16634,-0.14559,-0.38473,0.39767,-0.92834,1.18488,0.23698,0.86716
20142,2,1,-0.42548,-0.37292,-1.22735,-0.21042,1.02008,-0.02448,-1.22266,0.8568,0.45861,-0.50464,0.23698,0.86716
20392,2,1,1.91078,1.47037,0.61634,-0.53269,1.02008,0.21774,-1.22266,-0.97973,-1.48312,1.18488,0.23698,0.86716
10057,2,1,0.28601,0.16195,-0.30551,0.27299,-0.07313,-0.02448,,0.39767,,-1.71144,0.19582,1.10957
10214,2,1,-0.23888,-0.21824,1.53818,-2.14407,-1.16634,0.78292,-0.53387,-0.06146,0.45861,1.90896,0.19582,1.10957
10795,2,1,0.20713,0.00482,0.61634,-1.17724,0.47347,0.50033,0.86162,-0.97973,1.0134,1.39176,0.19582,1.10957
13627,2,1,1.31069,1.44682,1.53818,-0.21042,-1.16634,0.137,0.86162,-0.97973,-1.76051,-0.62532,0.19582,1.10957
20099,2,1,-0.22896,-0.20605,1.53818,-0.21042,0.47347,0.41959,0.75603,1.31593,1.56818,1.00386,0.19582,1.10957
21934,2,1,-0.17773,-0.26699,-1.22735,-0.85497,1.02008,0.29848,-1.22266,-0.06146,-0.09617,-0.98736,0.19582,1.10957
20134,2,1,-0.173,-0.26353,0.61634,0.43413,0.47347,0.17737,-0.3705,-0.06146,1.0134,0.09876,1.06504,0.13917
9001,2,1,0.45595,0.35513,0.61634,-0.37156,-0.07313,0.137,-1.84456,-0.97973,1.84557,-0.50464,0.27767,-0.98802
10261,2,1,-0.27837,-0.15014,1.53818,-1.82179,0.47347,0.86366,0.86162,0.39767,0.18122,1.90896,0.27767,-0.98802
10750,2,1,0.28816,0.23481,-0.30551,0.59527,-2.80616,-0.10522,-1.22266,-0.97973,-1.20573,-0.50464,0.27767,-0.98802
20014,2,1,-0.48316,-0.40748,0.61634,-1.01611,-0.07313,0.41959,0.79787,-0.06146,-1.76051,0.2999,0.27767,-0.98802
20029,2,1,-0.15627,-0.17519,1.53818,-1.66066,-1.16634,0.70218,-0.59535,-0.97973,-0.92834,-0.80634,0.27767,-0.98802
20485,2,1,-0.21998,-0.20395,1.53818,-1.98293,1.02008,0.82329,-1.75946,1.31593,-0.09617,-0.50464,0.27767,-0.98802
21700,2,1,0.96428,0.51812,1.53818,-1.49952,-0.07313,0.62144,-0.53387,-0.97973,-1.20573,,0.27767,-0.98802
22045,2,1,0.10354,0.09443,-0.30551,-1.01611,0.47347,0.25811,-1.22266,-0.97973,0.45861,-0.50464,0.27767,-0.98802
9187,2,1,0.83219,0.43216,,0.11185,,-0.2667,-1.22266,-0.06146,-1.20573,1.90896,0.5026,0.06524
10702,2,1,-0.10219,0.19452,-1.22735,0.7564,-0.07313,-0.30707,0.37578,-0.06146,0.45861,-0.39493,0.5026,0.06524
10792,2,1,-0.43731,-0.37353,-1.22735,2.0455,-0.07313,-0.91262,0.86162,-0.97973,-0.65095,-0.746,0.5026,0.06524
14923,2,1,-0.20844,-0.14952,0.61634,-0.04928,-1.16634,0.137,0.86162,3.15246,-2.31529,1.90896,0.5026,0.06524
19996,2,1,-0.27829,-0.25019,-1.22735,0.27299,-1.16634,-0.22633,-1.92767,-0.06146,0.18122,-1.47008,0.5026,0.06524
20126,2,1,-0.16133,-0.19124,,1.72323,,-1.0741,-1.22266,-0.97973,-1.76051,-0.50464,0.5026,0.06524
20154,2,1,-0.07667,-0.2469,1.53818,-0.53269,1.02008,0.50033,0.28669,2.23419,-0.92834,0.09876,0.5026,0.06524
