SubjectID,Gender,ZNBackAverage,ZTD1,ZTD2,ZSTEMAV2,ZNONSTEMAV2,ZDcorrect_Included,ZDwrong_Included,Zmathdevalue,ZGRIT_SCORE,Zcoratmpt,ZStigmaConsciousnessScore,ZMoodComp,ZSAQ1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma,ZWrongFeedback_DPD1_SelectedModularity_Theta,ZWrongFeedback_DPD1_SelectedModularity_Beta,ZWrongFeedback_DPD1_SelectedModularity_Gamma,ZSTEMGradeAll
11134,2,-2.51665,-0.45069,0.92172,-1.10534,-1.05626,0.08732,0.40147,-0.33221,-1.44051,-0.92937,0.58936,2.38458,1.44203,0.68891,1.37406,-0.19726,-0.16479,-0.64109,-1.32665,
11137,2,0.10409,0.21985,0.33604,0.98562,0.93218,1.02796,-0.00709,-1.03779,-0.70079,0.89783,0.12236,-0.94618,0.0874,-0.28004,0.68506,0.85549,-0.02241,0.95623,0.49151,-0.17221
22223,2,0.72808,1.56094,1.5074,0.69271,0.67804,1.32066,0.34471,-0.86139,0.77865,1.5069,-0.57008,0.7192,0.0874,-0.61831,0.79118,-0.34213,0.2577,0.89603,0.01153,0.64502
33333,2,,-1.12124,-1.42099,-0.24067,-0.57012,2.01967,0.30427,,-0.33093,-0.92937,1.28181,-1.15435,0.76471,-1.47529,-0.12156,-2.39487,0.39928,-0.18827,-0.48855,1.09904
33336,2,,,,,,,,,,,,,,,,,,,,-0.89865
33341,2,,,,,,,,,,,,,,,,,,,,0.00939
33347,2,,,,,,,,,,,,,,,,,,,,0.191
33348,2,,,,,,,,,,,,,,,,,,,,-0.53543
33349,2,,,,,,,,,,,,,,,,,,,,0.00939
33350,2,,,,,,,,,,,,,,,,,,,,-0.53543
33353,2,,,,,,,,,,,,,,,,,,,,0.28181
33360,2,,,,,,,,,,,,,,,,,,,,-2.71473
55554,2,1.47686,-0.45069,-0.24963,-0.02447,-0.02453,0.8803,1.15057,0.19697,0.77865,0.89783,-0.05478,0.09468,-0.58992,0.31795,0.78806,0.50805,0.77643,0.58379,1.03991,1.18985
55559,2,0.47848,-1.12124,0.92172,0.27178,-0.07272,0.45811,0.72778,1.96092,0.03893,-0.92937,-1.90667,-0.32166,-0.58992,0.92938,1.3041,2.15694,-0.86388,-0.98632,-1.23603,0.00939
55560,2,1.60166,-0.45069,0.92172,0.09172,-0.3369,1.17917,0.47896,-0.15582,-0.33093,-0.92937,1.61998,1.13555,0.76471,0.56585,0.4528,1.01996,0.1356,0.43436,0.74983,1.09904
55562,2,0.47848,0.21985,-0.24963,-1.03659,-0.67699,-1.10308,0.09316,-0.33221,-1.07065,-0.19849,0.20288,0.51103,0.0874,0.85577,0.12697,-0.29565,,-2.26341,-0.28796,-2.53312
55564,2,,,,,,,,,,,,,,,,,,,,1.18985
55577,2,-0.3951,0.21985,-1.42099,0.0954,-0.04592,-2.28913,-0.89181,-0.15582,0.03893,-0.40731,2.13529,-0.52983,0.0874,0.92668,0.51637,1.08572,-0.3928,0.10497,-0.46969,-1.62508
