ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
69390,3,1,0,0.209,0.32481,-0.10207,-1.07178,0.10023,0.01014,-0.10598,0.53362,0.82841,-0.01176,0.98694,-0.17368,0.25998,0.93849,0.30323,-0.05832,0.08498,-0.02152,1.01029,0.91188,1.91496
69637,3,1,0,,,,-0.53511,0.77593,0.01014,-0.59347,-1.86427,0.17356,-0.22296,-0.27053,0.02758,0.42029,-0.11824,-0.82091,-0.49425,0.65724,0.12773,1.00435,0.06516,1.91496
70306,3,1,0,1.65032,-0.12518,-0.8493,-1.42956,1.45163,1.55494,-1.08097,-1.15041,-1.21873,-0.1601,0.6578,-0.71693,-0.00861,-0.77896,0.17027,-0.1519,1.03358,1.3498,1.02757,0.19319,1.91496
70420,3,1,0,1.16478,1.44574,0.75664,1.43267,-1.92688,0.78254,-1.08097,0.44745,-0.64451,0.35999,1.16217,1.22472,0.03992,-0.253,1.66026,-1.81378,-0.99887,0.74398,1.12633,0.6426,-0.13818
70990,3,1,0,-0.28866,-0.46176,0.35612,-1.07178,0.77593,1.55494,-1.08097,0.64867,0.43766,0.73423,0.43999,0.25015,0.56106,0.39643,0.14369,0.16243,0.51117,0.86569,0.3029,0.65888,0.44843
72054,3,1,0,-0.162,0.79515,0.52845,-1.42956,1.45163,1.55494,-0.10598,-0.88048,,,,,,,,,,,,,1.42612
73079,3,1,0,-0.77874,-1.06858,-1.11794,-1.07178,-0.04993,0.78254,-1.56846,-0.2454,0.91825,0.72263,0.15102,0.68825,-0.11943,0.61538,0.24761,0.22854,0.98546,0.62753,-0.16027,1.32174,0.20401
73143,3,1,0,-0.90836,-0.90731,-0.4975,-1.42956,1.00116,0.01014,-0.10598,-0.10746,0.34299,0.7804,0.94451,0.23852,0.03403,0.249,1.37413,-0.77198,0.57137,0.85604,1.00536,0.88002,-1.50694
73175,3,1,0,-0.85443,-0.193,-0.41413,0.35933,-0.57547,0.01014,-0.10598,0.16243,-2.01061,0.315,-1.39883,0.64926,-1.73296,-2.31663,0.03159,0.21012,0.76311,-0.46188,-0.93715,-0.24312,-0.74651
74449,3,1,0,-0.25495,-0.73085,-0.82894,-1.07178,1.45163,0.78254,-0.59347,-0.29372,,,,,,,,,,,,,0.44843
74647,3,1,0,-0.75612,-0.76415,-0.53408,-0.17733,1.2264,0.78254,-0.59347,0.15107,-0.56678,1.02171,-0.64595,0.05766,-1.34318,-0.36366,0.1824,-0.03491,1.00619,0.10701,-0.86642,1.28091,1.42612
75376,3,1,0,0.40855,0.37981,1.07047,-1.07178,1.2264,0.78254,-0.59347,-0.6221,1.06592,-0.43076,-1.29088,-0.84482,0.45545,0.95633,-0.13452,-0.39041,-0.75009,-0.85513,-1.16982,-0.71346,-1.50694
