ID	Group	gender	condition	ZENGDiff	ZSTEMMajorDiff	ZCMDiff	ZDV	Zmathid	ZSAQ1	Zevap2	ZDwrong	ZFDMNBG	ZSDMNBG	ZSFPNBG	ZFDPDBG	ZFDMNSMT	ZFDMNSMA	ZFDPDSMT	ZFDPDSMA	ZSDMNSMT	ZSFPNSMT	ZSFPNSMA	ZSDMNSMA	coratmpt
49160	3	1	0	0.928714888	0.149597622	-0.039241303	-0.177332995	 	0.010136534	-1.080969059	 	0.387280633	1.083453879	0.448322462	-1.824321708	0.198960393	0.246488446	-0.47584507	-0.808592618	0.203518272	-0.868941744	-0.493025444	0.753021053	33.33333333
49504	3	1	0	0.209000517	0.324813371	-0.102069376	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99
49843	1	0	0	-0.288659221	-0.46176052	0.356117987	0.359334803	-0.575473692	0.010136534	0.381518491	-0.734001392	 	 	 	 	 	 	 	 	 	 	 	 	25
50488	3	1	0	-0.203805388	-0.910968774	-0.047093955	 	 	0.782540422	 	-0.040168863	 	 	 	 	 	 	 	 	 	 	 	 	-99
50491	3	1	0	-0.181535076	0.651781014	1.96729472	-0.535111527	0.100227641	0.010136534	-1.080969059	-2.010392379	-0.802271203	 	 	0.872584466	-1.005599727	-0.667134618	2.091916008	1.137437857	 	 	 	 	28.57142857
50611	3	1	0	-1.690432914	1.435741692	-0.905040887	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99
50812	1	0	0	0.209000517	0.324813371	-0.102069376	-1.071779324	-0.650551618	-0.762267354	0.869014341	-0.348927842	0.744536	-0.514902465	0.055901188	0.372667854	0.738284016	0.765926237	-0.411934823	-0.288151548	-1.074637494	-0.032384869	-0.462008483	-1.528486388	0
50816	1	0	0	1.546372671	0.473092157	0.232833862	0.538224069	-0.575473692	0.010136534	-0.105977359	-0.161268542	1.228842972	1.27778821	1.57077855	-0.291748816	0.325639472	1.073843582	0.985863512	0.251198641	-0.203199792	0.361763442	0.633538849	0.819085311	44.44444444
50825	2	0	1	1.965580655	1.587154845	-0.427646873	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99
50830	3	1	0	 	 	 	-0.535111527	0.400539344	0.782540422	0.381518491	-0.636934892	0.978833898	-0.045363649	0.632048789	0.992694571	1.20023662	1.404007271	0.661823381	0.662239152	0.115500125	-0.846127231	-0.418233643	-0.223248942	80
51156	2	0	1	0.268073815	-0.706037555	-1.50358476	-1.429557856	1.001162751	0.782540422	0.381518491	-0.496684297	0.968349891	0.269390304	0.399033028	0.498483889	1.025352356	1.006228429	0.878405872	0.375953696	0.150698711	0.65845147	0.531837098	0.368561374	14.28571429
